,@Username,Tweet,Lokasi
69,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/4Rg4MFZBSC",
70,fajarpuger,"@ganjarpranowo Gubernur Jawa tengah top banget,, apresiasi untuk beliau,, luar biasa penurunan stunting Jateng,,Krn hal itu tidak mudah untuk menurunkan nya..yg nyinyir nggak usah digubris pak, lanjutkan semangat bekerja untuk Jateng and then Indonesia 👍",Indonesia
71,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/9tNSJYG4B8",
72,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/KfIRGx8Svb",
73,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/JNKQOs8YMe",
74,adiwdj,"Pak @ganjarpranowo, Kali Lusi banjir lagi. Semoga @KemenPU ingat dengan rencana normalisasinya. https://t.co/ykeQNThdSO https://t.co/jEyGVadjUj",Purwodadi
75,BPJPATI,"Hallo Sahabat #JalanCantik
Pemeliharaan Rutin Jalan dan Jembatan
BPJ Wilayah Pati

#JatengGayeng
#gunakanmasker
#jagajarak
#cucitangan

@ganjarpranowo
@TajYasinMZ
@provjateng
@humasjateng
@dpubmckjateng
@BPJPATI https://t.co/FvQb2oLZEz",
76,wirryo,@LekKacung @ganjarpranowo @pupr_sda @bbwsbsolo @sekolahsungaik1 Untung iso lewat. Nek ra jebol,tangerang
77,DSetiawanovic,"@undipmenfess Assalamu'allaikum, Pak @ganjarpranowo, Ibu @MbakIta_SMG &amp; Pak @hendrarprihadi.Mohon bantuannya untuk kasus ini,Agar Kota Semarang menjadi aman kembali🙏🏻",
78,VikiHardiansya2,"@ganjarpranowo bagus pak,ganjar",
79,RizkiR4madani,"PDIP soal Elektabilitas @ganjarpranowo Tinggi: Namanya Survei Sangat Dinamis. Lah Iye Memang Dinamis Pak, Kepercayaan Rakyat Ke Partai Juga Sangat"" Dinamis. Yg Pentinggi Partai Inginkan Ape Sih? Kekuasaan Dll. Yg Rakyat Inginkan Ape Coba? Coba Jawab Dweh https://t.co/tCwa7rZAMd","Depok, Jawa Barat"
80,ChristieBonton,"Ganjar sendiri telah mengentas kemiskinan satu juta orang selama memimpin Jateng. Berdasarkan data Badan Pusat Statistik (BPS), tingkat kemiskinan di Jateng tinggal 10,93 persen pada 2022.
#GanjarPranowo https://t.co/IXduMFfEGp",
81,Teropong62,"Betul ! kualitas pemimpin itu dinilai dari pencapaiannya.

Indomie Yatai KPAI Partai Prima ARTIST AND STAFF Silent Matthew WELCOME WINWIN TO PARIS 
#Ganjar
#ganjarpranowo 
#ganjarbertanggungjawab
#HARAM
#TDS2inJAKARTA
#SECRET_NUMBER 
#SavePendampingDesa
#TAEYONG 
#TAEYONGtoPFW23 https://t.co/lgf4hotLvG",
82,barry_all2n,"@AndiDarwis71 @Dennysiregar7 @ch_chotimah2 @Miduk17 @yusuf_dumdum Den Ganjar Pranowo
Pak Prabowo subianto
Mas erik tohir",
83,Satriya1158,"@adeantiko @blontankpoer @ganjarpranowo Hahaha.. Tpi dg gaya kepemimpinan pak @ganjarpranowo, sy yakin jalan itu akan segera diperbaiki oleh pemerintah setempat. Bukankah begitu pak Ganjar? 🙏🏼",
84,Lilikgm1,"@kominfo_jtg @ganjarpranowo Ini rusak pak sepanjang  jl jetis., gerilia dan petanahan kebumen Jawa tengah monggo di cek https://t.co/H2VntPJ8je","Semarang Timur, Indonesia"
85,membangunnegri1,"Betul ! kualitas pemimpin itu dinilai dari pencapaiannya.

Indomie Yatai KPAI Partai Prima ARTIST AND STAFF Silent Matthew WELCOME WINWIN TO PARIS 
#Ganjar
#ganjarpranowo 
#ganjarbertanggungjawab
#HARAM
#TDS2inJAKARTA
#SECRET_NUMBER 
#SavePendampingDesa
#TAEYONG 
#TAEYONGtoPFW23 https://t.co/mnEyXNHqbW",
86,aan_muba,"Keberadaan gamelan mendukung pariwisata desa dan menambah kecintaan anak muda terhadap budaya bangsa.

@ganjarpranowo 

#GANTARI 🇲🇨 https://t.co/hyP8XaNpiO",
87,bamantara00,"Lagi2 nama Erick Thohir disandingkan dg dua nama terkuat kandidat capres yaitu Ganjar Pranowo &amp; Prabowo Subianto. 
Dengan unggulnya Erick Thohir di semua survey, Erick Thohir disebut sbg penentu kemenangan pd pilpres 2024.

@erickthohir 
#BangkitBersamaET https://t.co/LpKLdOKin0",
88,KartonoAndi,@pn7l7h @KemenPU @ganjarpranowo mbok menowo mireng.,
89,__RismaWidiono_,"Dalam rangka percepatan pengentasan kemiskinan, Gubernur @ganjarpranowo akan menambah jumlah SMKN Jawa Tengah sebanyak 15 sekolah di seluruh daerah se-Jawa Tengah.
Maka, jumlah SMKN Jawa Tengah yang tadinya berjumlah 3, bertambah menjadi 18 sekolah.

https://t.co/4SxQ8dR981 https://t.co/Gay4ajHrUZ","DKI Jakarta, Indonesia"
90,Coco_exp,"@ch_chotimah2 @ganjarpranowo Ngibulnya kebangetan, kalau ngaspal ulang atau rehabilitasi itu bisa saja tapi itu juga bukan prestasi karena memang sudah menjadi tugas negara yang sudah ngutip pajak dari rakyat . Biasa aja lah cuk",Gosan 
91,IlangGapite,@imm_mbrk_ @ganjarpranowo Lobang kok tinggi?,"Kota Semarang, Jawa Tengah"
92,Arif_Analyst,@ganjarpranowo @LaporGub_ emang gak lagi banjir kah pak?,"Bontang, KalTim"
93,JatengTV,"(10) Dalam PT Perorangan, modal pendirian badan hukum bersifat bebas, mulai dari Rp0 hingga maksimal Rp5 Miliar. Menarik bukan? #Indonesiamaju #jokowi #ptperorangan #badanhukum #umkm #ganjarpranowo #prabowo #aniesbaswedan #puanmaharani #pilpres2024 https://t.co/HRqCfZTPEG","Semarang, Jawa Tengah"
94,teguh_hteguh2,"@ch_chotimah2 @ganjarpranowo Jangan lupa banjir di urus, jangan sibuk ngonten terus",Bekasi-indonesia
95,adeantiko,"@Satriya1158 @blontankpoer @ganjarpranowo Sama mas, saya kerja di kepulauan talaud, ada jalan lingkar pulau yang rusak parah, pernah cerita2 sama orang dinas PU pemkab dan pemprov, jawabannya sama, ""itu jalan nasional, kami g punya kewenangan"". Akhirnya cuma bisa pasrah nunggu.",
96,suryaamriza,"@MikaelTohaga @BosPurwa @ganjarpranowo Pidato &amp; caption isinya sama. Kl pidatonya jelas, caption jg jelas donk😅Tujuan twitnya? Diantaranya motivasi. Ga bs perbaiki bangsa cukup presidennya yg  berusaha sj, rakyatnya ngga. Atau anda berpendapat sebaliknya?😁 If you do and there're many like you, than we're hopeless.",Indonesia
97,Thinktoliving,@BosPurwa @ganjarpranowo Cukup antum yg nyebarin. Itulah soft power,
98,MelayuWarga,@ch_chotimah2 @ganjarpranowo Berita kontol,
99,rurisonatha,@ganjarpranowo @LaporGub_ @MamatAlkatiri kena skak sama om GP... Kapok lu Mat... 😂😂,Surga Langit Ke-7
100,cahangoncempe,"@blontankpoer @ganjarpranowo Tau mblangsak Nang kunu, tromol pitku ambyar",
101,indo_medok,"@blontankpoer @ganjarpranowo Iseh kalah karo Jl Kec Wedi-Kec Bayat rasakan sensasinyaa
Wisata jeglongan Sewu dengan suasana persawahan dan pegunungan.
Kalau konstan 60km/jam..berarti anda membantu Pengusaha Tambal Ban dan Bengkel setempat
Monggo Pinarak🤗",Pulau Komodo
102,MikaelTohaga,"@suryaamriza @BosPurwa @ganjarpranowo Twit situ yg gaslighting kali. Caption yg ditulis Ganjar ga jelaskan mksd pesannya. Isi pidato mah jelas, tp dlm rangka apa tiba2 posting video spt itu? Kan mau nyapres, tp kok seolah pesannya perubahan itu tgg jwb masing2, bkn pemimpin. Nah loh jd kontraproduktif kan.",
103,6undul0h,@JaenoXTM @ch_chotimah2 @ganjarpranowo Wah waah... ga elok kuwi,di sampingmu
104,rw_27,@elshinta_smg @RadioElshinta #ganjarpranowo 🤔🤔🤔 banjir lagi...,
105,Brian_qq,@ch_chotimah2 @ganjarpranowo Kebanyakan kritik lu... Kritik soal food estate proyek pencitraan model dodol... Impor beras saat panen raya.. distribusi pupuk subsidi yang kagak jelas... Junjungan lu kaga dikritik masalah identitas goib ... Mabok kencing babi.. cebi,
106,AgoesSis,@jokowi @KemenPU @ganjarpranowo pripun niki pak?,
107,FlameObituary,"@adnan_uj @BosPurwa @xix0_3 @ganjarpranowo Kalo gagal semua,mulailah jadi kontraktor kemudian bangun 50 rumah pendukungnya pake duit zakat,pasti berhasil",
108,Satriya1158,"@adeantiko @blontankpoer @ganjarpranowo Makasih sdh menjelaskan lebih detail.. Ada wewenangnya masing"" satkernya.. Sy pernah melakukan pendampingan dana desa; knp jalan itu tdk kita perbaiki.. Dijawab; itu jalan kabupaten, desa tak punya wewenang.
Cilaka 17 - pdhal itu akses penting utk kegiatan desa ini...",
